k,s,t,p,q,bound,status,source,note
4,1,1,15,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,1,1,16,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,1,11,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,1,12,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,1,13,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,1,14,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,1,15,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,8,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,9,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,10,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,11,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,12,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,13,11,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,14,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,2,2,15,8,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,1,9,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,1,10,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,1,11,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,1,12,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,5,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,6,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,7,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,8,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,9,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,10,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,11,11,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,2,12,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,7,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,8,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,9,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,10,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,11,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,3,3,12,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,1,7,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,1,8,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,1,9,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,1,10,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,5,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,6,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,7,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,8,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,9,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,2,10,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,5,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,6,11,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,7,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,8,8,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,9,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,3,10,6,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,4,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,5,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,6,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,7,8,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,8,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,9,6,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,4,4,10,4,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,1,6,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,1,7,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,1,8,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,1,9,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,4,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,5,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,6,13,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,7,11,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,8,9,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,2,9,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,4,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,5,11,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,6,10,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,7,8,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,8,7,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,5,3,9,5,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,6,1,5,16,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,6,1,6,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,6,1,7,12,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,6,2,2,15,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
4,6,2,3,14,max,proven-exhaustive,tools/refsolve.py,"independent solver, exhaustive both directions"
