k,m,n1,bound,status,source,note
1,1,2,max,proven-exhaustive,out_k7.txt,
2,1,4,max,proven-exhaustive,out_k7.txt,
2,2,3,max,proven-exhaustive,out_k7.txt,
3,1,8,max,proven-exhaustive,out_k7.txt,
3,2,7,max,proven-exhaustive,out_k7.txt,
3,3,5,max,proven-exhaustive,out_k7.txt,
3,4,4,max,proven-exhaustive,out_k7.txt,
4,1,16,max,proven-exhaustive,out_k7.txt,
4,2,15,max,proven-exhaustive,out_k7.txt,
4,3,12,max,proven-exhaustive,out_k7.txt,
4,4,10,max,proven-exhaustive,out_k7.txt,
4,5,9,max,proven-exhaustive,out_k7.txt,
4,6,7,max,proven-exhaustive,out_k7.txt,
5,1,32,max,proven-exhaustive,out_k7.txt,
5,2,31,max,proven-exhaustive,out_k7.txt,
5,3,27,max,proven-exhaustive,out_k7.txt,
5,4,24,max,proven-exhaustive,out_k7.txt,
5,5,22,max,proven-exhaustive,out_k7.txt,
5,6,19,max,proven-exhaustive,out_k7.txt,
5,7,17,max,proven-exhaustive,out_k7.txt,
5,8,15,max,proven-exhaustive,out_k7.txt,
5,9,14,max,proven-exhaustive,out_k7.txt,
5,10,12,max,proven-exhaustive,out_k7.txt,
5,11,11,max,proven-exhaustive,out_k7.txt,
6,1,64,max,proven-exhaustive,out_k7.txt,
6,2,63,max,proven-exhaustive,out_k7.txt,
6,3,58,max,proven-exhaustive,out_k7.txt,
6,4,54,max,proven-exhaustive,out_k7.txt,
6,5,50,max,proven-exhaustive,out_k7.txt,
6,6,46,max,proven-exhaustive,out_k7.txt,
6,7,42,max,proven-exhaustive,out_k7.txt,
6,8,38,max,proven-exhaustive,out_k7.txt,
6,9,36,max,proven-exhaustive,out_k7.txt,
6,10,33,max,proven-exhaustive,out_k7.txt,
6,11,31,max,proven-exhaustive,out_k7.txt,
6,12,29,max,proven-exhaustive,out_k7.txt,
6,13,27,max,proven-exhaustive,out_k7.txt,
6,14,25,max,proven-exhaustive,out_k7.txt,
6,15,24,max,proven-exhaustive,out_k7.txt,
6,16,22,max,proven-exhaustive,out_k7.txt,
6,17,21,max,proven-exhaustive,out_k7.txt,
6,18,20,max,proven-exhaustive,out_k7.txt,
6,19,19,max,proven-exhaustive,out_k7.txt,
7,1,128,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,2,127,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,3,121,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,4,116,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,5,109,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,6,104,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,7,97,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,8,91,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,9,87,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,10,82,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,11,77,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,12,73,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,13,69,max,proven-exhaustive,out_k7.txt+out_k8.txt,
7,14,66,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,15,63,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,16,60,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,17,58,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,18,55,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,19,53,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,20,51,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,21,49,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,22,47,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,23,45,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,24,43,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,25,41,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,26,40,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,27,38,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,28,37,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,29,36,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,30,35,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,31,34,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
7,32,33,max,proven-exhaustive,out_k7.txt+out_radio_1.txt,
8,1,256,max,proven-theorem,lemma-1,achievability logged in out_k8.txt; upper bound 2^k is the dichotomy argument
8,2,255,max,proven-exhaustive,out_k8.txt,
8,3,248,max,proven-exhaustive,out_k8.txt,
8,4,242,max,proven-exhaustive,out_k8.txt,
8,5,231,max,proven-exhaustive,out_k8.txt,
8,6,225,max,proven-exhaustive,out_k8.txt,
8,7,214,max,proven-exhaustive,out_k8.txt,
8,8,206,max,proven-exhaustive,out_k8.txt,
8,9,198,max,proven-exhaustive,out_k8.txt,
8,10,189,max,proven-exhaustive,out_k8.txt,
8,11,182,max,proven-exhaustive,out_k8.txt,
8,12,174,max,proven-exhaustive,out_k8.txt,
8,13,168,max,proven-exhaustive,out_k8.txt,
8,14,161,max,proven-exhaustive,out_k8.txt,
8,15,155,max,proven-exhaustive,out_k8.txt,
8,16,150,max,proven-exhaustive,out_k8.txt,
8,17,144,max,proven-exhaustive,out_k8.txt,
8,18,139,max,proven-exhaustive,out_k8.txt,
8,19,135,max,proven-exhaustive,out_k8.txt,
8,20,130,max,proven-exhaustive,out_k8.txt,
8,21,126,max,proven-exhaustive,out_k8.txt,
8,22,122,max,proven-exhaustive,out_k8.txt,
8,23,118,max,proven-exhaustive,out_k8.txt,
8,24,115,max,proven-exhaustive,out_k8.txt,
8,25,111,max,proven-exhaustive,out_k8.txt,
8,26,108,max,proven-exhaustive,out_k8.txt,
8,27,105,max,proven-exhaustive,out_k8.txt,
8,28,102,max,proven-exhaustive,out_k8.txt,
8,29,100,max,proven-exhaustive,out_k8.txt,
8,30,97,max,proven-exhaustive,out_k8.txt,
8,31,94,max,proven-exhaustive,out_k8.txt,
8,32,92,max,proven-exhaustive,out_k8.txt,
8,33,89,max,proven-exhaustive,out_k8.txt,
8,34,87,max,proven-exhaustive,out_k8.txt,
8,35,85,max,proven-exhaustive,out_k8.txt,
8,36,83,max,proven-exhaustive,out_k8.txt,
8,37,81,max,proven-exhaustive,out_k8.txt,
8,38,79,max,proven-exhaustive,out_k8.txt,
8,39,77,max,proven-exhaustive,out_k8.txt,
8,40,76,max,proven-exhaustive,out_k8.txt,
8,41,74,max,proven-exhaustive,out_k8.txt+out_radio_1.txt,
8,42,72,max,proven-exhaustive,out_k8.txt+out_radio_1.txt,
8,43,71,max,proven-exhaustive,out_radio_1.txt,
8,44,69,max,proven-exhaustive,out_k8.txt+out_radio_1.txt,
8,45,68,max,proven-exhaustive,out_radio_1.txt,
8,46,66,max,proven-exhaustive,out_radio_1.txt,
8,47,65,max,proven-exhaustive,out_radio_1.txt,
8,48,64,max,proven-exhaustive,out_radio_1.txt,
8,49,62,max,proven-exhaustive,out_radio_1.txt,
8,50,61,max,proven-exhaustive,out_radio_1.txt,
8,51,60,max,proven-exhaustive,out_k8.txt+out_radio_1.txt,
8,52,59,max,proven-exhaustive,out_k8.txt,
8,53,58,max,proven-exhaustive,out_k8.txt,
8,54,57,max,proven-exhaustive,out_k8.txt,
8,55,56,max,proven-exhaustive,out_k8.txt,
9,1,512,max,proven-theorem,lemma-1,"Sb(2^k:1); dichotomy, both directions"
9,2,511,lower,proven-theorem,lemma-3,Sb(2^k-1:2)
9,3,503,lower,proven-theorem,lemma-6,Sb(2^k-k:3)
9,4,496,lower,witness,witnesses/canon_496_4_at9.tree,matches unproven lemma-8 (2^k-2k+2)
9,5,480,lower,witness,witnesses/canon_480_5_at9.tree,matches unproven lemma-9
9,6,473,lower,witness,witnesses/canon_473_6_at9.tree,matches unproven lemma-10 (corrected)
9,65,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,66,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,67,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,68,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,69,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,70,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,71,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,72,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,73,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,74,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,75,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,76,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,77,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,78,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,79,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,80,112,lower,legacy,radio_old/parsed_260.txt,Sb(112:m) logged solvable in 9; source log not located
9,81,82,lower,legacy,radio_old/parsed_260.txt,near-diagonal Sb(m+1:m) logged solvable in 9; source log not located
