,,,,,,,,,,
,,,,,0.0,1.0,2.0,3.0,4.0,5.0
,p(1),2^k,a(k),,a,aa,aaaa,aaaaaaaa,aaaaAAAAaaaaAAAA,aaaaAAAAaaaaAAAAaaaaAAAAaaaaAAAA
,p(2),2^k-1,b(k)=b(k-1)+a(k-1),,b,aB,aaaB,aaaaaaaB,aaaaaaaaaaaaaaaB,aaaaAAAAaaaaAAAAaaaaAAAAaaaaAAAb
,p(3),2^k-k,a(k-1)+c(k-1)=a(k-2)+b(k-1)+c(k-2),,,aC,aaBc,aaaaaBBc,aaaaaaaaaaaaBBBc,aaaaAAAAaaaaAAAAaaaaAAAAaaaBBBBc
,p(4),2^k-2-2k,2*a(k-2)+2*c(k-2)=b(k-1)+b(k-2)+c(k-3)+c(k-3),,,,aacc,aaaaBBcc,aaaaaaaaaaBBBBcc,aaaaAAAAaaaaAAAAaaaaAAAAbbbbbbCC
,p(5),2^k-5-k*(k-3)/2,3*b(k-2)+d(k-2)=c(k-1)+b(k-3)+d(k-3)=b(k-1)+c(k-2)+b(k-3)+d(k-3),,,,bbbd,aaaBBBcD,aaaaaaaaaBBBBccD,aaaaaaaaaaaaaaaaaaaaaaBBBBBBcccD
,p(6),2^k-3-k*(k-1)/2,B(k-2)+B(k-2)+C(k-2)+D(k-2),,,,bbcd,aaBBBccD,aaaaaaaBBBBBcccD,aaaaaaaaaaaaaaaaaaaBBBBBBBBccccD
,p(7),2^k-10-k^2+4k,a(k-3)+4*b(k-3)+c(k-3)+2*d(k-3),,,,,aBBBBcDD,aaaaaaBBBBBcccDD,aaaaaaaaaaaaaaaaaBBBBBBBBcccccDD
,p(8),2^k-2-k^2+2k,3*a(k-3)+3*c(k-3)+2*d(k-3),,,,,aaacccDD,aaaaaaBBBcccccDD,aaaaaaaaaaaaaaaBBBBBBBBcccccccDD
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
abc,,a,aabc,,,,,,,
abcc,,aaab,aaaaBBcc,,,,,,,
abccd,,aaaaaaaaBBB,aaaaaaaaaBBBBccD,,,,,,,
abccdd,,aaaaaaBBBBc-d,aaaaaaaBBBBBcccD,,,,,,,
