,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
,,,k^0,k^1,k^2,2^k,,,,,,,,,,,,,,,,
1.0,2^k,,0.0,0.0,0.0,1.0,,,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
2.0,2^k-1,,-1.0,0.0,0.0,1.0,,,1,3,7,15,31,63,127,255,511,1023,2047,4095,8191,16383
3.0,2^k-k,,0.0,-1.0,0.0,1.0,,,1,2,5,12,27,58,121,248,503,1014,2037,4084,8179,16370
4.0,2^k-2k+2,,2.0,-2.0,0.0,1.0,,,2,2,4,10,24,54,116,242,496,1006,2028,4074,8168,16358
5.0,2^k-0.5*k^2+1.5k-5,,-5.0,1.5,-0.5,1.0,,,-2,0,3,9,22,50,109,231,480,984,1999,4037,8122,16302
6.0,2^k-0.5k^2+0.5k-3,,-3.0,0.5,-0.5,1.0,,,-1,0,2,7,19,46,104,225,473,976,1990,4027,8111,16290
7.0,2^k-k^2+4k-10,,-10.0,4.0,-1.0,1.0,,,-5,-2,1,6,17,42,97,214,457,954,1961,3990,8065,16234
8.0,2^k-k^2+2k-2,,-2.0,2.0,-1.0,1.0,,,1,2,3,6,15,38,91,206,447,942,1947,3974,8047,16214
9.0,(31/32)*2^k-k^2+2k-2,,-2.0,2.0,-1.0,0.96875,,???,0.9375,1.875,2.75,5.5,14,36,87,198,431,910,1883,3846,7791,15702
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,for Sb(n : 1),,,,,,,,,,,,,,,,,,,,,
,n(0),1.0,,,,,,,,,,,,,,,,,,,,
,n(k),2*n(k-1),sum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sb(n(k):1),[n(k-1):1],,,,,,,,,,,,,,,,,,,,
