,0.0,1.0,2.0,3.0,4.0,5.0,,,,0.0,1.0,2.0,3.0,4.0,,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,0.0,1.0,2.0,3.0,4.0,
0.0,0,14,28,42,56,70,14,,0.0,0,14,28,42,56,14,,0.0,0,9,18,27,36,45,54,9,,0.0,0,9,18,27,36,9
1.0,5,13,26,39,52,65,13,,1.0,4,13,26,39,52,13,,1.0,6,8,16,24,32,40,48,8,,1.0,4,8,16,24,32,8
2.0,10,12,24,36,48,60,12,,2.0,8,12,24,36,48,12,,2.0,12,10,14,21,28,35,42,7,,2.0,8,7,14,21,28,7
3.0,15,12,22,33,44,55,11,,3.0,12,11,22,33,44,11,,3.0,18,15,12,18,24,30,36,6,,3.0,12,9,12,18,24,6
4.0,20,16,20,30,40,50,10,,4.0,16,12,20,30,40,10,,4.0,24,20,16,15,20,25,30,5,,4.0,16,12,10,15,20,5
5.0,25,20,18,27,36,45,9,,5.0,20,15,18,27,36,9,,5.0,30,25,20,15,16,20,24,4,,5.0,20,15,10,12,16,4
6.0,30,24,18,24,32,40,8,,6.0,24,18,16,24,32,8,,6.0,36,30,24,18,12,15,18,3,,6.0,24,18,12,9,12,3
7.0,35,28,21,21,28,35,7,,7.0,28,21,14,21,28,7,,7.0,42,35,28,21,14,10,12,2,,7.0,28,21,14,7,8,2
8.0,40,32,24,18,24,30,6,,8.0,32,24,16,18,24,6,,8.0,48,40,32,24,16,8,6,1,,8.0,32,24,16,8,4,1
9.0,45,36,27,18,20,25,5,,9.0,36,27,18,15,20,5,,9.0,54,45,36,27,18,9,0,0,,9.0,36,27,18,9,0,0
10.0,50,40,30,20,16,20,4,,10.0,40,30,20,12,16,4,,,6,5,4,3,2,1,0,,,,4,3,2,1,0,
11.0,55,44,33,22,12,15,3,,11.0,44,33,22,11,12,3,,,,,,,,,,,,,,,,,,
12.0,60,48,36,24,12,10,2,,12.0,48,36,24,12,8,2,,,,,,,,,,,,,,,,,,
13.0,65,52,39,26,13,5,1,,13.0,52,39,26,13,4,1,,,,,,,,,,,,,,,,,,
14.0,70,56,42,28,14,0,0,,14.0,56,42,28,14,0,0,,,,,,,,,,,,,,,,,,
,5,4,3,2,1,0,,,,4,3,2,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,2.0,3.0,4.0,5.0,,,,0.0,1.0,2.0,3.0,4.0,,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,0.0,1.0,2.0,3.0,4.0,
0.0,0,14,28,42,56,70,14,,0.0,0,14,28,42,56,14,,0.0,0,9,18,27,36,45,54,9,,0.0,0,9,18,27,36,9
1.0,5,9,23,37,51,65,13,,1.0,4,10,24,38,52,13,,1.0,6,3,12,21,30,39,48,8,,1.0,4,5,14,23,32,8
2.0,10,4,18,32,46,60,12,,2.0,8,6,20,34,48,12,,2.0,12,3,6,15,24,33,42,7,,2.0,8,1,10,19,28,7
