,n(k) = FLOOR(n(k-1)*SQRT(3),,,,,,,,,,,,,
,,,,,,,,1.732050808,0.5773502692,,,,,
,k,n,n*sqrt(3),,n1,n2,,,,,,,,
,1.0,2.0,3.464101615,,,,,,,,,,,
,2.0,3,5.196152423,,2,1,,0.5,1,1.464101615,,47.0,27.13546265,81.40638796
,3.0,5,8.660254038,,3,2,2,0.6666666667,1,2.196152423,,65.0,37.5277675,112.5833025
,4.0,8,13.85640646,,5,3,1.5,0.6,0.8,3.660254038,,27.0,15.58845727,46.7653718
,5.0,13,22.5166605,,8,5,1.666666667,0.625,0.75,5.856406461,,38.0,21.93931023,65.81793069
,6.0,22,38.10511777,,13,9,1.8,0.6923076923,0.7692307692,9.516660498,,22.0,12.70170592,38.10511777
,7.0,38,65.81793069,,22,16,1.777777778,0.7272727273,0.7727272727,16.10511777,,16.0,9.237604307,27.71281292
,8.0,65,112.5833025,,38,27,1.6875,0.7105263158,0.7368421053,27.81793069,,19.0,10.96965511,32.90896534
,9.0,112,193.9896904,,65,47,1.740740741,0.7230769231,0.7384615385,47.58330249,,32.0,18.47520861,55.42562584
,10.0,193,,,112,81,1.723404255,0.7232142857,0.7321428571,81.98969045,,33.0,19.05255888,57.15767665
,,,,,,,,,,,,,,
,,,,,,,,0.7272727273,0.7321428571,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,0.45,0.4,0.42,,,,1.0,0.5773502692,0,1,1
,,7.0,3,4,3,3,,,,2.0,1.154700538,1,1,2
,,8.0,4,4,4,4,,,,3.0,1.732050808,1,2,2
,,9.0,4,5,4,4,,,,4.0,2.309401077,2,2,3
,,10.0,5,5,4,5,,,,5.0,2.886751346,2,3,3
,,11.0,5,5,5,5,,,,6.0,3.464101615,3,3,4
,,12.0,6,6,5,6,,0.4210526316,,7.0,4.041451884,4,4,5
,,13.0,6,6,6,6,,0.4666666667,,8.0,4.618802154,4,5,5
,,14.0,7,7,6,6,,,,9.0,5.196152423,5,5,6
