title	scholar_bibliographic_line	seen_on
[BOOK][B] Combinatorial group testing and its applications	DZ Du, FK Hwang - 1999 - books.google.com	Aigner 1986 p1; Aigner 1988 p1; Gargano 1992 p1
Group testing: an information theory perspective	M Aldridge, O Johnson, J Scarlett - Foundations and Trends® in …, 2019 - emerald.com	Aigner 1986 p1; Aigner 1986 p2
[BOOK][B] Pooling designs and nonadaptive group testing: important tools for DNA sequencing	FK Hwang, D Du - 2006 - books.google.com	Aigner 1986 p1
Optimal reconstruction of graphs under the additive model	V Grebinski, G Kucherov - Algorithmica, 2000 - Springer	Aigner 1986 p1; Aigner 1986 p2; Aigner 1988 p2; Aigner 1988 p12; Gargano 1992 p1; Gargano 1992 p2
Realizability and uniqueness in graphs	M Aigner, E Triesch - Discrete Mathematics, 1994 - Elsevier	Aigner 1986 p1; Aigner 1988 p2
[PDF][PDF] Optimal Algorithms for the Coin Weighing Problem with a Spring Scale.	NH Bshouty - COLT, 2009 - learningtheory.org	Aigner 1986 p1; Aigner 1988 p2
A Fast Binary Splitting Approach for Non-Adaptive Learning of Erdős–Rényi Graphs	H Ta, J Scarlett - IEEE Transactions on Information Theory, 2026 - ieeexplore.ieee.org	Aigner 1986 p1
Optimal nested test plan for combinatorial quantitative group testing	C Wang, Q Zhao, CN Chuah - IEEE Transactions on Signal …, 2017 - ieeexplore.ieee.org	Aigner 1986 p1; Gargano 1992 p1
On Parity Check (0, 1)-Matrix over ℤp	NH Bshouty, H Mazzawi - Proceedings of the Twenty-Second Annual ACM …, 2011 - SIAM	Aigner 1986 p1; Aigner 1988 p5
Group testing with general correlation using hypergraphs	H Nikpey, S Sarkar, SS Bidokhti - IEEE Transactions on …, 2026 - ieeexplore.ieee.org	Aigner 1986 p1; Gargano 1992 p1
An improved algorithm for quantitative group testing	L Gargano, V Montouri, G Setaro, U Vaccaro - Discrete applied …, 1992 - Elsevier	Aigner 1986 p2; Aigner 1988 p7
The optimal procedures for quantitative group testing	FH Hao - Discrete Applied Mathematics, 1990 - Elsevier	Aigner 1986 p2
A tight upper bound for group testing in graphs	P Damaschke - Discrete applied mathematics, 1994 - Elsevier	Aigner 1986 p2
A simple and efficient strategy for the coin weighing problem with a spring scale	E Karimi, F Kazemi, A Heidarzadeh… - … on Information Theory …, 2018 - ieeexplore.ieee.org	Aigner 1986 p2; Aigner 1988 p9
Learning erdos-renyi random graphs via edge detecting queries	Z Li, M Fresacher, J Scarlett - Advances in Neural …, 2019 - proceedings.neurips.cc	Aigner 1986 p2
Determining defectives in a linear order	M Aigner, M Schughart - Journal of statistical planning and inference, 1985 - Elsevier	Aigner 1986 p2
Searching for an edge in a graph	M Aigner, E Triesch - Journal of graph theory, 1988 - Wiley Online Library	Aigner 1986 p2
A search problem on graphs which generalizes some group testing problems with two defectives	T Andreae - Discrete Mathematics, 1991 - Elsevier	Aigner 1986 p2
[HTML][HTML] An adaptive algorithm for group testing for complexes	J Chodoriwsky, L Moura - Theoretical Computer Science, 2015 - Elsevier	Aigner 1986 p3
[HTML][HTML] A competitive algorithm to find all defective edges in a graph	FK Hwang - Discrete applied mathematics, 2005 - Elsevier	Aigner 1986 p3
Edge search in graphs and hypergraphs of bounded rank	I Althöfer, E Triesch - Discrete mathematics, 1993 - Elsevier	Aigner 1986 p3; Aigner 1988 p13
A ternary search problem on graphs	T Andreae - Discrete applied mathematics, 1989 - Elsevier	Aigner 1986 p3
Optimal adaptive search: reliable and unreliable models	A Negro, G Parlati, P Ritrovato - Proc. 5th Italian Conf. on …, 1995 - World Scientific	Aigner 1986 p3
Applications of Graph Theory in Information Theory	MH NikpeySalekde - 2025 - search.proquest.com	Aigner 1986 p3; Gargano 1992 p2
An order-optimal adaptive test plan for noisy group testing under unknown noise models	S Salgia, Q Zhao - ICASSP 2021-2021 IEEE International …, 2021 - ieeexplore.ieee.org	Aigner 1986 p3; Gargano 1992 p2
On capacities of the two-user union channel with complete feedback	Z Jiang, N Polyanskii, I Vorobyev - IEEE Transactions on …, 2018 - ieeexplore.ieee.org	Aigner 1986 p3; Gargano 1992 p2
Non-adaptive group testing on graphs	H Kameli - Discrete Mathematics & Theoretical Computer …, 2018 - dmtcs.episciences.org	Aigner 1986 p3
On Parity Check (0,1)-Matrix over	NH Bshouty, H Mazzawi - SIAM Journal on Discrete Mathematics, 2015 - SIAM	Aigner 1986 p3; Aigner 1988 p18
Group testing in graphs	JS Juan, GJ Chang - Journal of combinatorial optimization, 2007 - Springer	Aigner 1986 p4
Group testing in bipartite graphs	ST Juan, GJ Chang - Taiwanese Journal of Mathematics, 2002 - projecteuclid.org	Aigner 1986 p4
Search problems: one, two or many rounds	CA Christen - Discrete Mathematics, 1994 - Elsevier	Aigner 1986 p4; Gargano 1992 p2
An optimal group testing algorithm on k disjoint sets	JF Weng, FK Hwang - Operations research letters, 1993 - Elsevier	Aigner 1986 p4
[PDF][PDF] A near-optimal algorithm for adaptive searching of two counterfeit coins	Z Jiang, N Polyanskii, I Vorobyev - nikitapolyanskii.com	Aigner 1986 p4; Gargano 1992 p2
A combinatorial problem: failure load analysis of rigid frames	A Miyamura, Y Kohama, T Takada - Advances in Engineering Software, 1996 - Elsevier	Aigner 1986 p4
[BOOK][B] Algorithmic and Coding-Theoretic Methods for Group Testing and Private Information Retrieval	E Karimi - 2022 - search.proquest.com	Aigner 1986 p4
A binary search problem on graphs	R Franzkeit - Discrete applied mathematics, 1992 - Elsevier	Aigner 1986 p4
On the binary adder channel with complete feedback, with an application to quantitative group testing	SH Florin, MH Ho, Z Jiang - IEEE Transactions on Information …, 2021 - ieeexplore.ieee.org	Aigner 1986 p4; Gargano 1992 p3
[PDF][PDF] Group testing for two defectives and the zero-error channel capacity	S Florin, M Ho, R Thomas - 2021 - math.mit.edu	Aigner 1986 p4; Gargano 1992 p3
[BOOK][B] Sequential Design of Experiments for Anomaly Detection	C Wang - 2018 - search.proquest.com	Aigner 1986 p5; Gargano 1992 p3
[HTML][HTML] A ternary search problem on two disjoint sets	S Li, X Wu, E Triesch - Discrete Applied Mathematics, 2018 - Elsevier	Aigner 1986 p5
[PDF][PDF] Searching for many defective edges in hypergraphs	J Emonts - 2013 - publications.rwth-aachen.de	Aigner 1986 p5
On Parity Check (0, 1)-Matrix over Z^ sub p^	NH Bshouty, H Mazzawi - … of the ACM-SIAM Symposium on …, 2011 - search.proquest.com	Aigner 1986 p5
Optimal Adaptive Search	A Negro, P Ritrovato - … , Villa Rufolo, Ravello, Italy, November 9 …, 1996 - books.google.com	Aigner 1986 p5
[CITATION][C] Department of Applied Mathematics, National Chiao-Tung University, Hsin-Chu, Taiwan, Republic of China Received 23 July 2003; received in revised …	FK Hwang - Discrete Applied Mathematics, 2005	Aigner 1986 p5
[PDF][PDF] A BINARY SEARCH PR () ELEM (ON GRAPHS	R Tošić, D Mašulović - emis.dsd.sztaki.hu	Aigner 1986 p5
Edge search in hypergraphs	I Althöfer, M Löwe - Discrete Mathematics, 1996 - Elsevier	Aigner 1986 p5
Optimal Reconstruction of Graphs Under the	A Model - Algorithms-ESA'97: 5th Annual European Symposium …, 1997 - books.google.com	Aigner 1986 p5; Gargano 1992 p3
[HTML][HTML] Optimal quantitative group testing on cycles and paths	FK Hwang, JS Lee - Discrete applied mathematics, 2001 - Elsevier	Aigner 1986 p5
[CITATION][C] Adaptive search for 2 defective coins	I Vorobyev	Aigner 1986 p6
[CITATION][C] Quantitative Group Testing for Heavy Hitter Detection	C Wang, Q Zhao, CN Chuah - arXiv preprint arXiv:1407.2283, 2014	Aigner 1986 p6; Gargano 1992 p3
[CITATION][C] A BINARY SEARCH PROBLEM ON GRAPHS	R ko Tosic, D Masulovic	Aigner 1986 p6
[CITATION][C] Ratko Tošić, ¹ Dragan Mašulović	S Mat - Review of Research: Mathematical series, 1994 - Fakultet	Aigner 1986 p6
Landauer principle and thermodynamics of computation	P Chattopadhyay, A Misra, T Pandit… - Reports on Progress in …, 2025 - iopscience.iop.org	Aigner 1988 p1
